#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         414     4.27132     4.23384   0.0105658
         415     4.26834     4.23392   0.0105407
         416     4.26556       4.234   0.0105156
         417     4.26305     4.23407   0.0104906
         418     4.26087     4.23413   0.0104657
         419     4.25909     4.23419   0.0104409
         420     4.25777     4.23425   0.0104162
         421     4.25695      4.2343   0.0103916
         422     4.25666     4.23436   0.0103671
         423     4.25695     4.23441   0.0103427
         424      4.2578     4.23447   0.0103185
         425     4.25922     4.23452   0.0102944
         426     4.26119     4.23459   0.0102704
         427     4.26366     4.23465   0.0102466
         428     4.26658     4.23473   0.0102229
         429     4.26989     4.23481   0.0101994
         430     4.27352      4.2349   0.0101761
         431     4.27737       4.235   0.0101529
         432     4.28137     4.23511     0.01013
         433     4.28543     4.23522   0.0101073
         434     4.28946     4.23535   0.0100848
         435     4.29338     4.23548   0.0100625
         436     4.29711     4.23562   0.0100404
         437     4.30059     4.23577   0.0100185
         438     4.30375     4.23593  0.00999683
         439     4.30653     4.23609  0.00997535
         440     4.30891     4.23625  0.00995405
         441     4.31084     4.23642  0.00993292
         442     4.31229     4.23659  0.00991193
         443     4.31325     4.23677  0.00989107
         444     4.31372     4.23694  0.00987031
         445     4.31369     4.23711  0.00984963
         446     4.31317     4.23728  0.00982902
         447     4.31216     4.23745  0.00980846
         448      4.3107     4.23761  0.00978793
         449      4.3088     4.23777  0.00976742
         450     4.30649     4.23792  0.00974691
         451     4.30381     4.23807  0.00972639
         452     4.30077     4.23821  0.00970586
         453     4.29743     4.23834  0.00968531
         454     4.29382     4.23846  0.00966475
         455     4.28998     4.23858  0.00964417
         456     4.28596     4.23868  0.00962358
         457     4.28178     4.23877  0.00960299
         458      4.2775     4.23886  0.00958239
         459     4.27315     4.23893  0.00956181
         460     4.26876       4.239  0.00954124
         461     4.26437     4.23905   0.0095207
         462     4.26001      4.2391   0.0095002
         463      4.2557     4.23913  0.00947975
         464     4.25146     4.23916  0.00945936
         465      4.2473     4.23918  0.00943903
         466     4.24323     4.23919  0.00941878
         467     4.23925     4.23919  0.00939861
         468     4.23534     4.23918  0.00937853
         469      4.2315     4.23916  0.00935855
         470     4.22771     4.23914  0.00933867
         471     4.22394     4.23911   0.0093189
         472     4.22018     4.23907  0.00929924
         473     4.21637     4.23902  0.00927971
         474     4.21251     4.23896   0.0092603
         475     4.20856      4.2389  0.00924102
         476     4.20449     4.23883  0.00922189
         477     4.20028     4.23875  0.00920291
         478      4.1959     4.23866   0.0091841
         479     4.19136     4.23856  0.00916545
         480     4.18663     4.23845    0.009147
         481     4.18171     4.23833  0.00912874
         482      4.1766      4.2382   0.0091107
         483     4.17131     4.23806  0.00909289
         484     4.16584     4.23791  0.00907533
         485      4.1602     4.23775  0.00905803
         486      4.1544     4.23758  0.00904101
         487     4.14843      4.2374   0.0090243
         488     4.14231     4.23721  0.00900791
         489     4.13602       4.237  0.00899187
         490     4.12956     4.23678  0.00897619
         491     4.12291     4.23655  0.00896091
         492     4.11607      4.2363  0.00894604
         493     4.10902     4.23604  0.00893162
         494     4.10175     4.23577  0.00891767
         495     4.09427     4.23549  0.00890424
         496     4.08658     4.23519  0.00889134
         497     4.07873     4.23487  0.00887903
         498     4.07077     4.23454  0.00886731
         499     4.06279      4.2342  0.00885622
         500     4.05491     4.23384  0.00884576
         501     4.04729     4.23347  0.00883594
         502     4.04011     4.23308  0.00882673
         503     4.03357     4.23268  0.00881809
         504      4.0279     4.23228  0.00880995
         505     4.02334     4.23186  0.00880221
         506     4.02009     4.23145  0.00879476
         507     4.01836     4.23103  0.00878745
         508     4.01829     4.23061  0.00878012
         509     4.01996     4.23019  0.00877262
         510     4.02341     4.22979  0.00876479
         511     4.02859     4.22939  0.00875647
         512     4.03538     4.22902  0.00874757
         513      4.0436     4.22865  0.00873798
