#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         590    -1.55064    -1.53715  0.00764513
         591    -1.54817    -1.53717  0.00763222
         592     -1.5454    -1.53718  0.00761934
         593    -1.54234    -1.53719   0.0076065
         594      -1.539    -1.53719  0.00759369
         595     -1.5354    -1.53719  0.00758093
         596    -1.53152    -1.53718  0.00756822
         597    -1.52741    -1.53716  0.00755556
         598    -1.52306    -1.53714  0.00754296
         599    -1.51848    -1.53711  0.00753043
         600    -1.51368    -1.53707  0.00751798
         601    -1.50867    -1.53702  0.00750562
         602    -1.50346    -1.53697  0.00749336
         603    -1.49806     -1.5369  0.00748121
         604    -1.49248    -1.53683  0.00746919
         605    -1.48673    -1.53675   0.0074573
         606    -1.48081    -1.53665  0.00744556
         607    -1.47475    -1.53655    0.007434
         608    -1.46855    -1.53644  0.00742261
         609    -1.46221    -1.53632  0.00741142
         610    -1.45577    -1.53619  0.00740045
         611    -1.44923    -1.53604  0.00738971
         612    -1.44261    -1.53589  0.00737921
         613    -1.43593    -1.53573  0.00736897
         614    -1.42919    -1.53555  0.00735901
         615    -1.42242    -1.53537  0.00734935
         616    -1.41564    -1.53518  0.00733998
         617    -1.40886    -1.53497  0.00733094
         618    -1.40211    -1.53476  0.00732223
         619    -1.39539    -1.53453  0.00731386
         620    -1.38873     -1.5343  0.00730585
         621    -1.38214    -1.53405  0.00729819
         622    -1.37565     -1.5338   0.0072909
         623    -1.36926    -1.53353  0.00728398
         624      -1.363    -1.53326  0.00727743
         625    -1.35686    -1.53298  0.00727126
         626    -1.35087    -1.53269  0.00726546
         627    -1.34502    -1.53239  0.00726003
         628    -1.33935    -1.53208  0.00725498
         629    -1.33384    -1.53176  0.00725028
         630    -1.32851    -1.53144  0.00724595
         631    -1.32337    -1.53111  0.00724197
         632    -1.31842    -1.53077  0.00723832
         633    -1.31369    -1.53043  0.00723501
         634    -1.30918    -1.53008  0.00723201
         635     -1.3049    -1.52973  0.00722931
         636    -1.30088    -1.52937  0.00722689
         637    -1.29713      -1.529  0.00722473
         638    -1.29368    -1.52863  0.00722282
         639    -1.29055    -1.52826  0.00722112
         640    -1.28777    -1.52789  0.00721961
         641    -1.28536    -1.52751  0.00721825
         642    -1.28336    -1.52713  0.00721702
         643    -1.28179    -1.52675  0.00721587
         644    -1.28067    -1.52636  0.00721478
         645    -1.28001    -1.52598   0.0072137
         646    -1.27985     -1.5256  0.00721258
         647    -1.28016    -1.52522  0.00721141
         648    -1.28096    -1.52484  0.00721012
         649    -1.28224    -1.52447   0.0072087
         650    -1.28398     -1.5241  0.00720709
         651    -1.28616    -1.52374  0.00720529
         652    -1.28873    -1.52337  0.00720324
         653    -1.29165    -1.52302  0.00720095
         654    -1.29489    -1.52267  0.00719838
         655    -1.29837    -1.52233  0.00719553
         656    -1.30205    -1.52199   0.0071924
         657    -1.30587    -1.52166  0.00718897
         658    -1.30978    -1.52134  0.00718525
         659    -1.31373    -1.52103  0.00718125
         660    -1.31764    -1.52072  0.00717698
         661     -1.3215    -1.52042  0.00717245
