#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         390     2.89532     2.81962  0.00744975
         391     2.89297      2.8198  0.00743306
         392     2.89071     2.81998   0.0074163
         393     2.88853     2.82016  0.00739948
         394     2.88643     2.82033  0.00738261
         395     2.88442     2.82049   0.0073657
         396     2.88247     2.82064  0.00734876
         397     2.88058      2.8208   0.0073318
         398     2.87875     2.82094  0.00731483
         399     2.87695     2.82108  0.00729784
         400     2.87518     2.82122  0.00728085
         401     2.87342     2.82135  0.00726386
         402     2.87166     2.82147  0.00724687
         403     2.86987     2.82159  0.00722988
         404     2.86806     2.82171   0.0072129
         405      2.8662     2.82182  0.00719592
         406     2.86428     2.82192  0.00717896
         407     2.86231     2.82202  0.00716201
         408     2.86028     2.82212  0.00714507
         409      2.8582      2.8222  0.00712814
         410     2.85608     2.82229  0.00711124
         411     2.85392     2.82236  0.00709435
         412     2.85176     2.82243  0.00707749
         413     2.84963      2.8225  0.00706066
         414     2.84754     2.82256  0.00704386
         415     2.84556     2.82262  0.00702711
         416     2.84371     2.82267   0.0070104
         417     2.84203     2.82271  0.00699374
         418     2.84058     2.82276  0.00697714
         419      2.8394      2.8228   0.0069606
         420     2.83851     2.82283  0.00694413
         421     2.83796     2.82287  0.00692773
         422     2.83778      2.8229   0.0069114
         423     2.83796     2.82294  0.00689515
         424     2.83853     2.82298  0.00687899
         425     2.83948     2.82302  0.00686291
         426     2.84079     2.82306  0.00684693
         427     2.84244      2.8231  0.00683105
         428     2.84439     2.82315  0.00681527
         429      2.8466     2.82321   0.0067996
         430     2.84901     2.82327  0.00678405
         431     2.85158     2.82333  0.00676863
         432     2.85425      2.8234  0.00675334
         433     2.85695     2.82348  0.00673819
         434     2.85964     2.82357  0.00672318
         435     2.86225     2.82365  0.00670831
         436     2.86474     2.82375  0.00669359
         437     2.86706     2.82385    0.006679
         438     2.86916     2.82395  0.00666455
         439     2.87102     2.82406  0.00665024
         440     2.87261     2.82417  0.00663604
         441     2.87389     2.82428  0.00662195
         442     2.87486      2.8244  0.00660795
         443      2.8755     2.82451  0.00659404
         444     2.87581     2.82463   0.0065802
         445     2.87579     2.82474  0.00656642
         446     2.87544     2.82486  0.00655268
         447     2.87478     2.82497  0.00653898
         448      2.8738     2.82508  0.00652529
         449     2.87254     2.82518  0.00651161
         450       2.871     2.82528  0.00649794
         451      2.8692     2.82538  0.00648426
         452     2.86718     2.82547  0.00647057
         453     2.86495     2.82556  0.00645688
         454     2.86255     2.82564  0.00644317
         455     2.85999     2.82572  0.00642945
         456     2.85731     2.82579  0.00641572
         457     2.85452     2.82585  0.00640199
         458     2.85167     2.82591  0.00638826
         459     2.84876     2.82596  0.00637454
         460     2.84584       2.826  0.00636083
         461     2.84291     2.82604  0.00634713
