#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         624     1.16139     1.16167  0.00947509
         625      1.1615     1.16167  0.00945993
         626     1.16152     1.16167  0.00944482
         627     1.16145     1.16167  0.00942976
         628      1.1613     1.16167  0.00941474
         629     1.16109     1.16167  0.00939977
         630     1.16083     1.16166  0.00938485
         631     1.16053     1.16166  0.00936998
         632      1.1602     1.16166  0.00935516
         633     1.15984     1.16166  0.00934038
         634     1.15948     1.16165  0.00932564
         635      1.1591     1.16165  0.00931096
         636     1.15872     1.16165  0.00929632
         637     1.15833     1.16164  0.00928173
         638     1.15795     1.16163  0.00926718
         639     1.15756     1.16163  0.00925268
         640     1.15718     1.16162  0.00923823
         641      1.1568     1.16161  0.00922382
         642     1.15642     1.16161  0.00920945
         643     1.15604      1.1616  0.00919514
         644     1.15566     1.16159  0.00918086
         645     1.15528     1.16158  0.00916663
         646      1.1549     1.16157  0.00915245
         647     1.15451     1.16156  0.00913831
         648     1.15413     1.16154  0.00912421
         649     1.15375     1.16153  0.00911016
         650     1.15338     1.16152  0.00909616
         651     1.15301     1.16151  0.00908219
         652     1.15266     1.16149  0.00906827
         653     1.15234     1.16148   0.0090544
         654     1.15203     1.16147  0.00904056
         655     1.15176     1.16145  0.00902677
         656     1.15153     1.16144  0.00901303
         657     1.15134     1.16142  0.00899932
         658      1.1512      1.1614  0.00898566
         659     1.15111     1.16139  0.00897204
         660     1.15107     1.16137  0.00895846
         661     1.15109     1.16136  0.00894492
         662     1.15117     1.16134  0.00893142
         663      1.1513     1.16133  0.00891796
         664     1.15148     1.16131  0.00890454
         665      1.1517      1.1613  0.00889116
         666     1.15197     1.16128  0.00887782
         667     1.15226     1.16127  0.00886452
         668     1.15258     1.16126  0.00885126
         669     1.15291     1.16124  0.00883804
         670     1.15325     1.16123  0.00882486
         671     1.15358     1.16122  0.00881171
         672     1.15389     1.16121  0.00879861
         673     1.15417      1.1612  0.00878554
         674     1.15443     1.16119  0.00877251
         675     1.15464     1.16118  0.00875952
         676      1.1548     1.16117  0.00874657
         677     1.15491     1.16116  0.00873365
         678     1.15497     1.16115  0.00872078
         679     1.15496     1.16114  0.00870794
         680      1.1549     1.16113  0.00869514
         681     1.15477     1.16112  0.00868237
         682     1.15459     1.16112  0.00866965
         683     1.15436     1.16111  0.00865696
         684     1.15407      1.1611  0.00864431
         685     1.15374     1.16108   0.0086317
         686     1.15337     1.16107  0.00861912
         687     1.15297     1.16106  0.00860658
