#     TEMP:   ACTUAL_TE:    TE_AVE:      ERROR:
         427    -3.81931    -3.82152 0.000485937
         428    -3.81951    -3.82151 0.000484824
         429    -3.81999    -3.82151 0.000483707
         430    -3.81999     -3.8215 0.000482595
         431     -3.8201     -3.8215 0.000481486
         432    -3.82048     -3.8215 0.000480377
         433    -3.82037     -3.8215 0.000479275
         434    -3.82068    -3.82149 0.000478174
         435    -3.82035    -3.82149 0.000477082
         436    -3.82059    -3.82149 0.000475992
         437     -3.8208    -3.82149 0.000474906
         438    -3.82009    -3.82148 0.000473832
         439    -3.82011    -3.82148 0.000472763
         440    -3.82011    -3.82148 0.000471699
         441    -3.82011    -3.82148  0.00047064
         442    -3.81995    -3.82147 0.000469588
         443    -3.81948    -3.82147 0.000468549
         444    -3.81947    -3.82146 0.000467515
         445    -3.81932    -3.82146  0.00046649
         446    -3.81918    -3.82145 0.000465472
         447     -3.8189    -3.82145 0.000464465
         448    -3.81848    -3.82144 0.000463476
         449    -3.81777    -3.82143 0.000462516
         450    -3.81769    -3.82142 0.000461563
         451    -3.81762    -3.82142 0.000460616
         452    -3.81682    -3.82141 0.000459709
         453    -3.81664    -3.82139 0.000458815
         454    -3.81678    -3.82138 0.000457917
         455    -3.81632    -3.82137 0.000457046
         456    -3.81634    -3.82136 0.000456177
         457    -3.81622    -3.82135 0.000455317
         458     -3.8161    -3.82134 0.000454467
         459      -3.816    -3.82133 0.000453626
         460    -3.81576    -3.82132 0.000452802
         461    -3.81567     -3.8213 0.000451985
         462     -3.8156    -3.82129 0.000451175
         463    -3.81568    -3.82128 0.000450364
         464    -3.81577    -3.82127 0.000449549
         465    -3.81587    -3.82126 0.000448732
         466    -3.81628    -3.82125 0.000447896
         467     -3.8164    -3.82123 0.000447057
         468    -3.81622    -3.82122 0.000446231
         469    -3.81605    -3.82121 0.000445415
         470     -3.8162     -3.8212 0.000444595
         471    -3.81666    -3.82119 0.000443756
         472    -3.81668    -3.82118 0.000442919
         473     -3.8167    -3.82117 0.000442084
         474    -3.81659    -3.82116 0.000441257
         475    -3.81663    -3.82115 0.000440431
         476    -3.81637    -3.82114  0.00043962
         477    -3.81672    -3.82114 0.000438796
         478    -3.81706    -3.82113 0.000437961
         479     -3.8174    -3.82112 0.000437116
         480    -3.81758    -3.82111 0.000436267
         481    -3.81773     -3.8211 0.000435417
         482    -3.81772     -3.8211  0.00043457
         483    -3.81784    -3.82109 0.000433722
         484    -3.81778    -3.82108  0.00043288
         485    -3.81815    -3.82108  0.00043203
         486    -3.81833    -3.82107 0.000431178
         487    -3.81834    -3.82107 0.000430329
         488    -3.81801    -3.82106 0.000429493
         489    -3.81795    -3.82105 0.000428662
         490    -3.81755    -3.82105 0.000427847
         491    -3.81758    -3.82104 0.000427033
         492    -3.81699    -3.82103 0.000426245
         493    -3.81697    -3.82102  0.00042546
         494    -3.81693    -3.82101 0.000424679
         495    -3.81672    -3.82101  0.00042391
         496    -3.81665      -3.821 0.000423147
         497    -3.81626    -3.82099 0.000422403
         498    -3.81691    -3.82098 0.000421634
         499    -3.81666    -3.82097 0.000420878
         500    -3.81639    -3.82096 0.000420136
         501    -3.81628    -3.82095 0.000419401
         502    -3.81601    -3.82094 0.000418681
         503    -3.81574    -3.82093 0.000417976
         504    -3.81517    -3.82092 0.000417303
         505    -3.81461    -3.82091 0.000416664
         506    -3.81511     -3.8209 0.000415999
         507    -3.81516    -3.82089 0.000415332
         508    -3.81477    -3.82087 0.000414689
         509    -3.81485    -3.82086 0.000414043
         510    -3.81434    -3.82085 0.000413429
         511     -3.8143    -3.82084 0.000412818
         512    -3.81443    -3.82082 0.000412201
         513    -3.81443    -3.82081 0.000411586
         514    -3.81431     -3.8208 0.000410979
         515    -3.81406    -3.82079  0.00041039
         516    -3.81474    -3.82077 0.000409762
         517    -3.81439    -3.82076 0.000409155
         518    -3.81422    -3.82075  0.00040856
         519    -3.81468    -3.82074  0.00040794
         520      -3.815    -3.82073 0.000407305
         521     -3.8152    -3.82072 0.000406661
         522    -3.81482     -3.8207 0.000406039
         523    -3.81535    -3.82069 0.000405392
         524    -3.81545    -3.82068 0.000404742
         525    -3.81541    -3.82067 0.000404095
         526    -3.81522    -3.82066  0.00040346
         527    -3.81563    -3.82065 0.000402808
         528     -3.8153    -3.82064 0.000402172
         529    -3.81481    -3.82063 0.000401563
         530    -3.81508    -3.82062 0.000400942
         531    -3.81489    -3.82061 0.000400333
         532    -3.81469     -3.8206 0.000399735
         533     -3.8151    -3.82059 0.000399118
         534     -3.8155    -3.82058 0.000398485
         535    -3.81575    -3.82057 0.000397842
         536    -3.81525    -3.82056 0.000397224
         537    -3.81505    -3.82055 0.000396617
         538    -3.81561    -3.82054 0.000395986
         539    -3.81543    -3.82053 0.000395365
         540    -3.81571    -3.82052 0.000394734
         541    -3.81615    -3.82052 0.000394087
         542      -3.816    -3.82051 0.000393448
         543    -3.81632     -3.8205 0.000392798
         544    -3.81636    -3.82049  0.00039215
         545    -3.81626    -3.82048 0.000391508
         546    -3.81708    -3.82048  0.00039084
         547    -3.81731    -3.82047 0.000390169
         548    -3.81756    -3.82047 0.000389493
         549    -3.81828    -3.82046 0.000388804
         550    -3.81855    -3.82046 0.000388112
         551    -3.81823    -3.82046 0.000387429
         552    -3.81897    -3.82045 0.000386737
