#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         507    -5.38934    -5.60511    0.016793
         508    -5.38636    -5.60468   0.0167654
         509    -5.38362    -5.60425   0.0167381
         510    -5.38006    -5.60381   0.0167111
         511    -5.37676    -5.60336   0.0166843
         512    -5.37345    -5.60291   0.0166577
         513    -5.36984    -5.60246   0.0166314
         514    -5.36596      -5.602   0.0166055
         515    -5.36182    -5.60153   0.0165798
         516    -5.35852    -5.60106   0.0165543
         517    -5.35412    -5.60058   0.0165292
         518    -5.34984     -5.6001   0.0165044
         519    -5.34618    -5.59961   0.0164798
         520    -5.34239    -5.59911   0.0164555
         521     -5.3385    -5.59861   0.0164316
         522    -5.33408    -5.59811   0.0164079
         523    -5.33064     -5.5976   0.0163845
         524    -5.32685    -5.59708   0.0163614
         525    -5.32302    -5.59656   0.0163385
         526    -5.31914    -5.59603    0.016316
         527    -5.31599     -5.5955   0.0162937
         528     -5.3122    -5.59496   0.0162716
         529    -5.30838    -5.59442   0.0162499
         530    -5.30542    -5.59388   0.0162284
         531    -5.30212    -5.59333   0.0162071
         532    -5.29893    -5.59277   0.0161861
         533    -5.29644    -5.59222   0.0161653
         534    -5.29406    -5.59166   0.0161446
         535    -5.29162     -5.5911   0.0161242
         536    -5.28853    -5.59053    0.016104
         537    -5.28585    -5.58997    0.016084
         538    -5.28403     -5.5894   0.0160642
         539    -5.28158    -5.58883   0.0160445
         540     -5.2797    -5.58825    0.016025
         541    -5.27812    -5.58768   0.0160056
         542    -5.27609    -5.58711   0.0159864
         543    -5.27469    -5.58653   0.0159673
         544    -5.27316    -5.58595   0.0159484
         545    -5.27169    -5.58538   0.0159295
         546    -5.27135     -5.5848   0.0159107
         547    -5.27063    -5.58423    0.015892
         548    -5.27016    -5.58365   0.0158733
         549    -5.27041    -5.58308   0.0158547
         550    -5.27049    -5.58252    0.015836
         551    -5.27023    -5.58195   0.0158174
         552    -5.27133    -5.58139   0.0157988
         553    -5.27212    -5.58083   0.0157801
         554    -5.27334    -5.58027   0.0157614
         555    -5.27486    -5.57972   0.0157426
         556    -5.27652    -5.57918   0.0157237
         557    -5.27877    -5.57864   0.0157047
         558    -5.28129     -5.5781   0.0156856
         559    -5.28423    -5.57758   0.0156664
         560    -5.28728    -5.57706    0.015647
         561    -5.29013    -5.57655   0.0156274
         562    -5.29275    -5.57604   0.0156078
         563    -5.29635    -5.57555    0.015588
         564     -5.3003    -5.57506    0.015568
         565     -5.3043    -5.57458   0.0155478
         566    -5.30831    -5.57411   0.0155274
