#   N_BLOCK:  ACCEPTANCE:
          77     0.48247
          78    0.482411
          79    0.482354
          80    0.482295
          81    0.482239
          82    0.482183
          83     0.48212
          84    0.482062
          85    0.482005
          86    0.481947
          87    0.481889
          88    0.481827
          89    0.481767
          90    0.481706
          91    0.481651
          92     0.48159
          93    0.481532
          94    0.481475
          95    0.481417
          96    0.481357
          97    0.481299
          98    0.481241
          99    0.481184
         100    0.481127
           1    0.480953
           2    0.480884
           3    0.480819
           4    0.480751
           5    0.480682
           6     0.48061
           7    0.480538
           8    0.480467
           9    0.480399
          10     0.48033
          11     0.48026
          12    0.480188
          13    0.480122
          14    0.480049
          15     0.47998
          16    0.479911
          17    0.479841
          18    0.479774
          19     0.47971
          20    0.479643
          21    0.479576
          22     0.47951
          23     0.47944
          24    0.479374
          25    0.479309
          26    0.479241
          27    0.479174
          28    0.479106
          29    0.479038
          30    0.478973
          31    0.478903
          32    0.478836
          33    0.478767
          34    0.478704
          35    0.478637
          36     0.47857
          37    0.478503
          38    0.478441
          39    0.478375
          40    0.478311
          41    0.478246
          42    0.478184
          43    0.478117
          44    0.478054
          45     0.47799
          46    0.477924
          47    0.477859
          48    0.477792
          49    0.477727
          50    0.477659
          51    0.477593
          52     0.47753
          53    0.477468
          54    0.477405
          55    0.477343
          56    0.477279
          57    0.477215
          58    0.477155
          59    0.477094
          60    0.477032
          61    0.476966
          62    0.476901
          63    0.476838
          64    0.476777
          65    0.476715
          66     0.47665
          67    0.476587
          68    0.476524
          69    0.476464
          70    0.476402
          71     0.47634
          72    0.476279
          73    0.476217
          74     0.47615
          75    0.476088
          76    0.476029
          77    0.475968
          78    0.475903
          79    0.475843
          80    0.475784
          81    0.475723
          82    0.475663
          83    0.475602
          84    0.475544
          85    0.475484
          86    0.475422
          87     0.47536
          88    0.475303
          89    0.475246
          90     0.47519
          91    0.475131
          92    0.475071
          93    0.475012
          94    0.474952
          95    0.474893
          96    0.474832
          97     0.47477
          98    0.474706
          99    0.474647
         100    0.474585
           1    0.474401
           2    0.474329
           3    0.474261
           4    0.474189
           5    0.474117
           6    0.474043
           7    0.473971
           8    0.473897
           9     0.47383
          10    0.473758
          11    0.473688
          12    0.473618
          13    0.473546
          14     0.47347
          15    0.473399
          16    0.473329
          17    0.473262
          18    0.473193
          19    0.473128
          20    0.473056
          21    0.472988
          22    0.472918
          23    0.472847
          24    0.472779
          25     0.47271
          26     0.47264
          27    0.472569
          28    0.472502
          29    0.472431
          30    0.472361
          31    0.472291
          32    0.472221
          33    0.472155
          34    0.472085
          35    0.472018
          36    0.471946
          37    0.471879
          38     0.47181
          39    0.471743
          40    0.471677
          41    0.471606
          42    0.471544
          43    0.471476
          44     0.47141
          45    0.471341
          46    0.471276
          47     0.47121
          48     0.47114
          49    0.471073
          50    0.471008
          51    0.470948
          52    0.470882
          53    0.470819
          54    0.470753
          55     0.47069
          56    0.470624
          57    0.470559
          58    0.470497
          59    0.470431
          60    0.470365
          61    0.470298
          62    0.470233
          63     0.47017
          64    0.470104
          65    0.470035
          66    0.469972
          67    0.469908
          68    0.469841
          69    0.469774
          70     0.46971
          71    0.469647
          72    0.469584
          73     0.46952
          74    0.469459
          75    0.469396
          76    0.469332
          77    0.469271
          78    0.469206
          79    0.469138
          80    0.469074
          81    0.469009
          82     0.46895
          83    0.468886
          84    0.468821
          85    0.468756
          86    0.468697
          87    0.468632
          88    0.468571
          89    0.468508
          90    0.468443
          91    0.468379
          92    0.468318
          93    0.468252
          94    0.468195
          95    0.468132
          96    0.468073
          97    0.468012
          98     0.46795
          99    0.467885
         100    0.467823
           1    0.467641
           2     0.46757
           3    0.467494
           4    0.467418
           5    0.467347
           6    0.467273
           7    0.467203
           8     0.46713
           9    0.467057
          10    0.466982
          11    0.466913
          12    0.466844
          13    0.466773
          14    0.466702
          15    0.466629
          16    0.466557
          17    0.466484
          18    0.466413
          19    0.466341
          20    0.466271
          21    0.466202
          22    0.466132
          23    0.466062
          24    0.465992
          25    0.465921
          26    0.465847
          27    0.465776
          28    0.465707
          29    0.465636
          30    0.465564
          31    0.465491
          32    0.465419
          33    0.465346
          34    0.465274
          35    0.465202
          36    0.465127
          37    0.465055
          38    0.464987
          39    0.464917
          40    0.464848
          41    0.464779
          42    0.464707
          43    0.464639
          44    0.464566
          45    0.464497
          46    0.464429
          47    0.464359
          48    0.464292
          49    0.464223
          50     0.46416
          51    0.464093
          52    0.464025
          53    0.463958
          54    0.463892
          55    0.463823
          56    0.463754
          57    0.463683
          58    0.463616
          59    0.463549
          60    0.463481
          61    0.463417
          62    0.463351
          63    0.463286
          64    0.463219
          65    0.463152
          66    0.463084
          67    0.463017
          68    0.462949
          69    0.462882
          70    0.462818
          71    0.462752
          72    0.462686
          73    0.462626
          74    0.462562
          75    0.462495
          76    0.462429
          77    0.462365
          78    0.462297
          79    0.462232
          80     0.46217
          81    0.462103
          82    0.462037
          83    0.461971
          84    0.461902
          85    0.461835
          86    0.461769
          87    0.461702
          88    0.461636
          89    0.461573
          90     0.46151
          91    0.461444
          92     0.46138
          93    0.461319
          94    0.461253
          95    0.461188
          96    0.461124
          97     0.46106
          98       0.461
          99    0.460939
         100    0.460878
           1    0.460696
           2    0.460623
           3     0.46055
           4    0.460478
           5    0.460403
           6     0.46033
           7    0.460252
           8    0.460175
           9    0.460098
          10    0.460023
          11    0.459947
          12    0.459873
          13    0.459801
          14    0.459727
          15    0.459654
          16    0.459581
          17    0.459511
          18    0.459434
          19    0.459364
          20    0.459291
          21    0.459218
          22    0.459142
          23    0.459071
          24    0.458993
          25    0.458923
          26    0.458849
          27     0.45878
          28    0.458707
          29    0.458637
          30    0.458564
          31    0.458492
          32    0.458419
          33     0.45835
          34    0.458281
          35    0.458209
          36    0.458136
          37    0.458067
          38    0.457996
          39    0.457929
          40    0.457858
          41    0.457788
          42    0.457721
          43    0.457651
          44    0.457578
          45    0.457508
          46    0.457437
          47    0.457369
          48    0.457298
          49    0.457226
          50    0.457156
          51    0.457086
          52    0.457015
          53    0.456947
          54    0.456878
          55    0.456812
          56    0.456744
          57    0.456676
          58    0.456607
          59    0.456536
          60    0.456468
          61    0.456399
          62    0.456329
          63     0.45626
          64    0.456191
          65    0.456117
          66    0.456046
          67    0.455975
          68    0.455906
          69    0.455834
          70    0.455766
          71    0.455695
          72    0.455626
          73    0.455556
          74    0.455487
          75    0.455421
          76    0.455358
          77    0.455289
          78    0.455218
          79    0.455152
          80    0.455084
          81    0.455017
          82    0.454951
          83    0.454885
          84    0.454818
          85    0.454752
          86    0.454686
          87    0.454621
          88    0.454554
          89    0.454486
          90    0.454419
          91    0.454356
          92    0.454292
          93     0.45423
          94    0.454163
          95    0.454095
          96     0.45403
          97    0.453966
          98    0.453901
          99    0.453836
         100    0.453771
           1    0.453576
           2    0.453502
           3    0.453424
           4    0.453346
           5    0.453272
           6    0.453194
           7    0.453119
           8    0.453042
           9    0.452965
          10    0.452886
          11    0.452807
          12     0.45273
          13     0.45265
          14    0.452572
          15    0.452495
          16    0.452418
          17    0.452342
          18    0.452269
          19    0.452191
          20    0.452116
          21    0.452041
          22     0.45197
          23    0.451893
          24    0.451815
          25    0.451739
          26    0.451667
          27    0.451594
          28    0.451516
          29    0.451442
          30    0.451366
          31    0.451293
          32    0.451217
          33    0.451141
          34    0.451067
          35    0.450995
          36    0.450924
          37    0.450851
          38    0.450777
          39    0.450703
          40    0.450629
          41    0.450554
          42    0.450483
          43     0.45041
          44    0.450335
          45    0.450261
          46    0.450189
          47    0.450114
          48    0.450044
          49     0.44997
          50    0.449899
          51    0.449829
          52    0.449756
          53    0.449684
          54    0.449614
          55    0.449539
          56    0.449464
          57     0.44939
          58    0.449319
          59    0.449248
          60    0.449177
          61    0.449105
          62    0.449031
          63    0.448961
          64    0.448892
          65    0.448822
          66    0.448749
          67     0.44868
          68    0.448608
          69    0.448537
          70    0.448465
          71    0.448394
          72    0.448322
          73    0.448254
          74    0.448185
          75    0.448115
          76    0.448043
          77    0.447972
          78    0.447902
          79    0.447832
          80    0.447764
          81    0.447695
          82    0.447622
          83    0.447551
          84    0.447482
          85    0.447409
          86    0.447338
          87    0.447269
          88    0.447198
          89    0.447131
          90    0.447063
          91    0.446994
          92     0.44693
          93    0.446861
          94    0.446794
          95    0.446728
          96    0.446661
          97    0.446593
          98    0.446522
          99    0.446453
         100    0.446381
           1    0.446184
           2    0.446104
           3    0.446027
           4    0.445951
           5    0.445874
           6    0.445792
           7    0.445714
           8    0.445635
           9    0.445555
          10    0.445479
          11    0.445404
          12    0.445324
          13    0.445246
          14    0.445169
          15    0.445095
          16    0.445017
          17     0.44494
          18    0.444862
          19    0.444785
          20    0.444707
          21    0.444632
          22    0.444555
          23    0.444481
          24    0.444406
          25     0.44433
          26    0.444254
          27    0.444179
          28    0.444105
          29    0.444029
          30    0.443948
          31    0.443876
          32    0.443801
          33    0.443726
          34    0.443652
          35    0.443576
          36    0.443499
          37    0.443424
          38    0.443349
          39    0.443272
          40    0.443199
          41    0.443122
          42    0.443046
          43    0.442971
          44    0.442896
          45    0.442822
          46    0.442748
          47     0.44267
          48      0.4426
          49    0.442526
          50    0.442451
          51    0.442379
          52    0.442304
          53    0.442227
          54    0.442151
          55    0.442077
          56    0.442002
          57     0.44193
          58    0.441854
          59    0.441776
          60    0.441705
          61    0.441634
          62    0.441561
          63    0.441487
          64    0.441414
          65    0.441342
          66    0.441269
          67    0.441199
          68    0.441127
          69    0.441053
          70     0.44098
          71    0.440906
          72    0.440831
          73    0.440759
          74    0.440686
          75    0.440615
          76     0.44054
          77    0.440468
          78    0.440395
          79    0.440324
          80    0.440251
          81    0.440182
          82     0.44011
          83    0.440038
          84    0.439967
          85    0.439893
          86    0.439824
          87    0.439751
          88    0.439681
          89    0.439609
          90    0.439539
          91    0.439464
          92    0.439393
          93    0.439322
          94    0.439251
          95    0.439181
          96    0.439109
          97     0.43904
          98     0.43897
          99    0.438899
         100    0.438832
           1    0.438632
           2    0.438551
           3    0.438467
           4    0.438387
           5    0.438307
           6     0.43823
           7    0.438149
           8    0.438068
           9    0.437985
          10    0.437908
          11    0.437827
          12    0.437745
          13    0.437665
          14    0.437583
          15    0.437505
          16    0.437426
          17    0.437348
          18    0.437269
          19     0.43719
          20    0.437111
          21    0.437031
          22     0.43695
          23    0.436875
          24    0.436795
          25    0.436718
          26    0.436641
          27    0.436561
          28    0.436482
          29    0.436405
          30    0.436325
          31    0.436246
          32    0.436169
          33     0.43609
          34     0.43601
          35    0.435936
          36    0.435859
